#Organism group,Strain,Isolate identifiers,Serovar,Isolate,Create date,Location,Isolation source,Isolation type,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,Computed types
"E.coli and Shigella","20CA02GT02UCD-EC","""20CA02GT02UCD-EC"",""CFSAN106619"",""SRS8242523""",,"PDT000954663.1","2021-02-12T03:22:48Z","USA:CA","ground turkey","environmental/other","PDS000080759.13",12,,"SAMN17884781","GCA_017033675.1","acrF=COMPLETE,blaEC=COMPLETE,marR_S3N=POINT,tet(B)=COMPLETE",
"E.coli and Shigella","20CA02GT01UCD-EC","""20CA02GT01UCD-EC"",""CFSAN106618"",""SRS8244195""",,"PDT000954827.1","2021-02-12T18:24:42Z","USA:CA","ground turkey","environmental/other","PDS000080759.13",14,,"SAMN17897621","GCA_017032115.1","acrF=COMPLETE,blaEC=COMPLETE,marR_S3N=POINT,tet(B)=COMPLETE",
"E.coli and Shigella","20CA11GT03UCD-EC","""20CA11GT03UCD-EC"",""CFSAN112386"",""SRS9167413""",,"PDT001065485.1","2021-06-09T23:33:59Z","USA:CA","ground turkey","environmental/other","PDS000080759.13",15,,"SAMN19644740","GCA_018832645.1","acrF=COMPLETE,blaEC=COMPLETE,marR_S3N=POINT,tet(B)=COMPLETE",
"E.coli and Shigella","MJ-2232-2","""CFSAN109427"",""CFSAN109953"",""MJ-2232-2"",""SRS8527636""",,"PDT000989071.1","2021-03-22T16:32:31Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",3,,"SAMN18404073","GCA_017726175.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","MJ-2232-3","""CFSAN109428"",""CFSAN109952"",""MJ-2232-3"",""SRS8527637""",,"PDT000989072.1","2021-03-22T16:32:31Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",2,,"SAMN18404072","GCA_017726115.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","MJ-2232-4","""CFSAN109429"",""CFSAN109951"",""MJ-2232-4"",""SRS8530649""",,"PDT000989213.1","2021-03-22T19:32:13Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",2,,"SAMN18411407","GCA_017725175.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","MJ-2232-1","""CFSAN109426"",""CFSAN109954"",""MJ-2232-1"",""SRS8530800""",,"PDT000989263.1","2021-03-22T19:32:31Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",2,,"SAMN18417516","GCA_017724995.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","MJ-2230-4","""CFSAN109424"",""CFSAN109956"",""MJ-2230-4"",""SRS8530805""",,"PDT000989268.1","2021-03-22T19:32:35Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",8,,"SAMN18418849","GCA_017724875.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","MJ-2187-3","""CFSAN109341"",""CFSAN110039"",""MJ-2187-3"",""SRS8599664""",,"PDT000993124.1","2021-03-29T20:21:12Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",0,,"SAMN18528217","GCA_017683285.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","MJ-2188-1","""CFSAN109342"",""CFSAN110038"",""MJ-2188-1"",""SRS8599689""",,"PDT000993125.1","2021-03-29T20:21:13Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",4,,"SAMN18528227","GCA_017683265.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","MJ-2187-2","""CFSAN109340"",""CFSAN110040"",""MJ-2187-2"",""SRS8599697""",,"PDT000993127.1","2021-03-29T20:21:13Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",0,,"SAMN18528251","GCA_017683245.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","MJ-2185-2","""CFSAN109337"",""CFSAN110043"",""MJ-2185-2"",""SRS8599751""",,"PDT000993132.1","2021-03-29T21:20:37Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",1,,"SAMN18528400","GCA_017683205.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","MJ-2185-1","""CFSAN109336"",""CFSAN110044"",""MJ-2185-1"",""SRS8599769""",,"PDT000993138.1","2021-03-29T21:20:39Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",1,,"SAMN18528484","GCA_017683025.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","MJ-2189-2","""CFSAN109344"",""CFSAN110036"",""MJ-2189-2"",""SRS8770334""",,"PDT001014260.1","2021-04-25T21:25:18Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",4,,"SAMN18867466","GCA_018142335.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","MJ-2230-2","""CFSAN109422"",""CFSAN109958"",""MJ-2230-2"",""SRS8952207""",,"PDT001024600.1","2021-05-12T19:22:09Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",11,,"SAMN19117233",,"acrF=PARTIAL_END_OF_CONTIG,blaEC=COMPLETE,mdtM=COMPLETE,qnrB19=COMPLETE",
"E.coli and Shigella","MJ-2230-3","""CFSAN109423"",""CFSAN109957"",""MJ-2230-3"",""SRS8952390""",,"PDT001024750.1","2021-05-12T21:26:32Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",10,,"SAMN19117294","GCA_018483605.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=PARTIAL_END_OF_CONTIG,qnrB19=COMPLETE",
"E.coli and Shigella","MJ-2230-1","""CFSAN109421"",""CFSAN109959"",""MJ-2230-1"",""SRS8952410""",,"PDT001024761.1","2021-05-12T21:26:35Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",8,,"SAMN19117388","GCA_020473615.1","acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,qnrB19=COMPLETE",
"E.coli and Shigella","MJ-2189-3","""CFSAN109345"",""CFSAN110035"",""MJ-2189-3"",""SRS8952695""",,"PDT001024766.1","2021-05-12T21:26:36Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",4,,"SAMN19117414","GCA_018483165.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","MJ-2229-2","""CFSAN109418"",""CFSAN109962"",""MJ-2229-2"",""SRS8953029""",,"PDT001024877.1","2021-05-13T10:27:56Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",10,,"SAMN19117529","GCA_018484925.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","MJ-2189-1","""CFSAN109343"",""CFSAN110037"",""MJ-2189-1"",""SRS9750519""",,"PDT001107929.1","2021-08-12T03:33:57Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",4,,"SAMN20716661","GCA_019578825.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","MJ-2200-1","""CFSAN109372"",""CFSAN110008"",""MJ-2200-1"",""SRS9750554""",,"PDT001107957.1","2021-08-12T03:34:07Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000083540.8",4,,"SAMN20716656","GCA_019578355.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_H2","""Cow_RLC1_H2"",""SRS9404862"",""TG938774""",,"PDT001082216.1","2021-07-06T10:35:25Z","USA:CA","feces cow","environmental/other","PDS000092421.1",0,,"SAMN20065126","GCA_019182225.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_H1","""Cow_RLC1_H1"",""SRS9404861"",""TG938777""",,"PDT001082217.1","2021-07-06T10:35:25Z","USA:CA","feces cow","environmental/other","PDS000092421.1",0,,"SAMN20065125","GCA_019135115.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_G2","""Cow_RLC1_G2"",""SRS9404860"",""TG938826""",,"PDT001082218.1","2021-07-06T10:35:25Z","USA:CA","feces cow","environmental/other","PDS000092421.1",0,,"SAMN20065124","GCA_019135135.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_G1","""Cow_RLC1_G1"",""SRS9404859"",""TG938823""",,"PDT001082219.1","2021-07-06T10:35:26Z","USA:CA","feces cow","environmental/other","PDS000092421.1",1,,"SAMN20065123","GCA_019135055.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_F1","""Cow_RLC1_F1"",""SRS9404857"",""TG938820""",,"PDT001082220.1","2021-07-06T10:35:26Z","USA:CA","feces cow","environmental/other","PDS000092421.1",0,,"SAMN20065121","GCA_019135035.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_E2","""Cow_RLC1_E2"",""SRS9404856"",""TG938854""",,"PDT001082221.1","2021-07-06T10:35:26Z","USA:CA","feces cow","environmental/other","PDS000092421.1",0,,"SAMN20065120","GCA_019134855.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_E1","""Cow_RLC1_E1"",""SRS9404855"",""TG938859""",,"PDT001082222.1","2021-07-06T10:35:27Z","USA:CA","feces cow","environmental/other","PDS000092421.1",0,,"SAMN20065119","GCA_019135015.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_D2","""Cow_RLC1_D2"",""SRS9404853"",""TG938786""",,"PDT001082224.1","2021-07-06T10:35:27Z","USA:CA","feces cow","environmental/other","PDS000092421.1",0,,"SAMN20065118","GCA_019182205.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_D1","""Cow_RLC1_D1"",""SRS9404845"",""TG938789""",,"PDT001082231.1","2021-07-06T10:35:29Z","USA:CA","feces cow","environmental/other","PDS000092421.1",0,,"SAMN20065117","GCA_019134895.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_F2","""Cow_RLC1_F2"",""SRS9404858"",""TG938829""",,"PDT001082405.1","2021-07-06T11:35:28Z","USA:CA","feces cow","environmental/other","PDS000092421.1",1,,"SAMN20065122","GCA_019141715.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_C2","""Cow_RLC1_C2"",""SRS9404834"",""TG938783""",,"PDT001082413.1","2021-07-06T11:35:30Z","USA:CA","feces cow","environmental/other","PDS000092421.1",0,,"SAMN20065116","GCA_019138455.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_C1","""Cow_RLC1_C1"",""SRS9404823"",""TG938812""",,"PDT001082424.1","2021-07-06T11:35:34Z","USA:CA","feces cow","environmental/other","PDS000092421.1",1,,"SAMN20065115","GCA_019140155.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_B3","""Cow_RLC1_B3"",""SRS9404812"",""TG938868""",,"PDT001082435.1","2021-07-06T11:35:37Z","USA:CA","feces cow","environmental/other","PDS000092421.1",0,,"SAMN20065114","GCA_019137515.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_B2","""Cow_RLC1_B2"",""SRS9404801"",""TG938780""",,"PDT001082446.1","2021-07-06T11:35:40Z","USA:CA","feces cow","environmental/other","PDS000092421.1",0,,"SAMN20065113","GCA_019138475.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_B1","""Cow_RLC1_B1"",""SRS9404790"",""TG938817""",,"PDT001082457.1","2021-07-06T11:35:44Z","USA:CA","feces cow","environmental/other","PDS000092421.1",0,,"SAMN20065112","GCA_019135435.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_A3","""Cow_RLC1_A3"",""SRS9404779"",""TG938869""",,"PDT001082468.1","2021-07-06T11:35:47Z","USA:CA","feces cow","environmental/other","PDS000092421.1",1,,"SAMN20065111","GCA_019142265.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_A2","""Cow_RLC1_A2"",""SRS9404768"",""TG938815""",,"PDT001082479.1","2021-07-06T11:35:50Z","USA:CA","feces cow","environmental/other","PDS000092421.1",0,,"SAMN20065110","GCA_019137475.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC1_A1","""Cow_RLC1_A1"",""SRS9404757"",""TG938866""",,"PDT001082490.1","2021-07-06T11:35:53Z","USA:CA","feces cow","environmental/other","PDS000092421.1",0,,"SAMN20065109","GCA_019138215.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","RM10024","""RM10024"",""SRS4620102""",,"PDT000362542.2","2019-05-12T03:17:25Z","USA: California","feces",,"PDS000091511.5",,,"SAMN09761789","GCA_003368495.2","acrF=PARTIAL,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",
"E.coli and Shigella","RM7426","""CFSAN111559"",""RM7426"",""SRS9222361""",,"PDT001071676.1","2021-06-17T02:20:37Z","USA:CA","bovine","environmental/other","PDS000091511.5",13,21,"SAMN19713107","GCA_018953595.1","acrF=PARTIAL,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","RM9023","""CFSAN111772"",""RM9023"",""SRS9662000""",,"PDT001101387.1","2021-08-07T13:26:54Z","USA:CA","bovine","environmental/other","PDS000091511.5",0,22,"SAMN20522882","GCA_019568735.1","acrF=PARTIAL,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","RM8954","""CFSAN111765"",""RM8954"",""SRS9662017""",,"PDT001101404.1","2021-08-07T13:26:58Z","USA:CA","bovine","environmental/other","PDS000091511.5",0,22,"SAMN20523042","GCA_019634485.1","acrF=PARTIAL,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","RM9096","""CFSAN111814"",""RM9096"",""SRS9662042""",,"PDT001101429.1","2021-08-07T13:27:05Z","USA:CA","bovine","environmental/other","PDS000091511.5",1,23,"SAMN20523069","GCA_019567655.1","acrF=PARTIAL,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","RM9097","""CFSAN111815"",""RM9097"",""SRS9662043""",,"PDT001101430.1","2021-08-07T13:27:05Z","USA:CA","bovine","environmental/other","PDS000091511.5",0,22,"SAMN20523071","GCA_019567595.1","acrF=PARTIAL,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","RM9856","""CFSAN112509"",""RM9856"",""SRS9988332""",,"PDT001120878.1","2021-09-01T09:36:37Z","USA:CA","crow","environmental/other","PDS000091511.5",2,26,"SAMN21134194","GCA_019844455.1","acrF=PARTIAL,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","RM9857","""CFSAN112510"",""RM9857"",""SRS9988342""",,"PDT001120885.1","2021-09-01T09:36:39Z","USA:CA","crow","environmental/other","PDS000091511.5",2,26,"SAMN21144282","GCA_019845075.1","acrF=PARTIAL,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","RM9558","""CFSAN111898"",""RM9558"",""SRS10351998""",,"PDT001141952.1","2021-10-02T20:22:55Z","USA:CA","bovine","environmental/other","PDS000091511.5",13,38,"SAMN21582276","GCA_020241905.1","acrF=PARTIAL,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",
"E.coli and Shigella","RM9556","""CFSAN111896"",""RM9556"",""SRS10352001""",,"PDT001141958.1","2021-10-02T20:22:56Z","USA:CA","bovine","environmental/other","PDS000091511.5",2,25,"SAMN21582293","GCA_020241765.1","acrF=PARTIAL,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",
"E.coli and Shigella","RM9554","""CFSAN111894"",""RM9554"",""SRS10352009""",,"PDT001141964.1","2021-10-02T20:22:58Z","USA:CA","bovine","environmental/other","PDS000091511.5",2,25,"SAMN21582284","GCA_020241565.1","acrF=PARTIAL,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",
"E.coli and Shigella","RM9557","""CFSAN111897"",""RM9557"",""SRS10352042""",,"PDT001141997.1","2021-10-02T20:23:07Z","USA:CA","bovine","environmental/other","PDS000091511.5",2,25,"SAMN21582354","GCA_020240825.1","acrF=PARTIAL,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",
"E.coli and Shigella","MJ-2201-1","""CFSAN109373"",""CFSAN110007"",""MJ-2201-1"",""SRS9750530""",,"PDT001107940.1","2021-08-12T03:34:01Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000094320.2",37,,"SAMN20716654","GCA_019578575.1","aadA1=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,aph(6)-Id=PARTIAL_END_OF_CONTIG,blaEC=COMPLETE,mdtM=MISTRANSLATION,sat2=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE",
"E.coli and Shigella","MJ-2201-2","""CFSAN109374"",""CFSAN110006"",""MJ-2201-2"",""SRS9750556""",,"PDT001107959.1","2021-08-12T03:34:07Z","USA:CA","cattle feces (Bos taurus)","environmental/other","PDS000094320.2",41,,"SAMN20716649","GCA_019578295.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=MISTRANSLATION",
"E.coli and Shigella","MJ1414-1","""CFSAN114719"",""MJ1414-1"",""SRS13709101""",,"PDT001352792.1","2022-07-05T21:38:46Z","USA:CA","bovine manure","environmental/other","PDS000094320.2",6,,"SAMN29507008","GCA_024161265.1","aadA1=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,floR=COMPLETE,glpT_E448K=POINT,mdtM=MISTRANSLATION,pmrB_Y358N=POINT,sat2=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE",
"E.coli and Shigella","MJ1420","""CFSAN114725"",""MJ1420"",""SRS13709106""",,"PDT001352797.1","2022-07-05T21:38:47Z","USA:CA","bovine manure","environmental/other","PDS000094320.2",10,,"SAMN29506991","GCA_024168285.1","aadA1=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,floR=COMPLETE,glpT_E448K=POINT,mdtM=MISTRANSLATION,pmrB_Y358N=POINT,sat2=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE",
"E.coli and Shigella","MJ1418-1","""CFSAN114723"",""MJ1418-1"",""SRS13709153""",,"PDT001352840.1","2022-07-05T21:38:59Z","USA:CA","bovine manure","environmental/other","PDS000094320.2",6,,"SAMN29507046","GCA_024148045.1","aadA1=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,floR=COMPLETE,glpT_E448K=POINT,mdtM=MISTRANSLATION,pmrB_Y358N=POINT,sat2=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE",
"E.coli and Shigella","MJ1412","""CFSAN114717"",""MJ1412"",""SRS13709247""",,"PDT001352890.1","2022-07-05T21:39:17Z","USA:CA","bovine manure","environmental/other","PDS000094320.2",6,,"SAMN29507128","GCA_024146065.1","aadA1=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,aph(6)-Id=PARTIAL_END_OF_CONTIG,blaEC=COMPLETE,floR=COMPLETE,glpT_E448K=POINT,mdtM=MISTRANSLATION,pmrB_Y358N=POINT,sat2=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE",
"E.coli and Shigella","MJ1409-1","""CFSAN114714"",""MJ1409-1"",""SRS13709278""",,"PDT001352919.1","2022-07-05T21:39:26Z","USA:CA","bovine manure","environmental/other","PDS000094320.2",5,,"SAMN29507205","GCA_024166785.1","aadA1=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,blaEC=COMPLETE,floR=COMPLETE,floR=PARTIAL_END_OF_CONTIG,glpT_E448K=POINT,mdtM=MISTRANSLATION,pmrB_Y358N=POINT,sat2=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE",
"E.coli and Shigella","MJ1410-1","""CFSAN114715"",""MJ1410-1"",""SRS13709279""",,"PDT001352920.1","2022-07-05T21:39:26Z","USA:CA","bovine manure","environmental/other","PDS000094320.2",4,,"SAMN29507202","GCA_024166745.1","aadA1=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,floR=COMPLETE,glpT_E448K=POINT,mdtM=MISTRANSLATION,pmrB_Y358N=POINT,sat2=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE",
"E.coli and Shigella","MJ956","""CFSAN114765"",""MJ956"",""SRS13709360""",,"PDT001352923.1","2022-07-05T22:35:56Z","USA:CA","bovine manure","environmental/other","PDS000094320.2",0,,"SAMN29507235","GCA_024166705.1","aadA1=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,floR=COMPLETE,glpT_E448K=POINT,mdtM=MISTRANSLATION,pmrB_Y358N=POINT,sat2=COMPLETE,sul2=COMPLETE,sul2=PARTIAL_END_OF_CONTIG,tet(A)=COMPLETE",
